Total_Amount_USD,Actual_Tip_USD,Predicted_Tip_USD
16.41,11.1,17.01759516666665
20.44,19.45,19.417052214285746
63.660000000000004,25.6,20.91751999999998
19.830000000000002,17.25,40.5707916666667
22.11,5.883,6.553871666666668
24.03,9.6,6.968479999999995
16.41,16.217,13.894419662698406
36.279999999999994,1.067,4.556990000000002
32.08,0.6,6.711996666666668
16.94,10.817,14.451292169917744
23.82,2.883,5.774381666666663
45.19,1.933,6.118409999999999
19.59,12.7,8.682979607142858
20.22,10.433,15.703078107118731
32.15,5.75,5.328413333333333
19.060000000000002,3.15,3.163746092213344
66.41,10.8,37.629114999999956
0.0,7.217,13.394422349037308
24.220000000000002,5.717,5.872577166666665
26.47,5.517,16.586737904761904
22.05,16.65,11.782886833333334
24.98,20.767,14.040345016233765
21.18,7.25,16.556069495418527
30.07,0.417,9.101687500000006
27.259999999999998,3.45,5.794465
35.58,5.3,14.400688916666653
48.99,9.817,6.033179999999999
20.11,0.117,12.166030147070703
21.69,12.083,11.251169285714276
60.769999999999996,7.683,6.605830000000002
37.59,11.6,4.845070000000004
32.75,16.867,20.52556000000002
25.69,4.567,7.6116199999999985
29.75,0.0,4.053903833333334
24.36,1.5,17.16334758000737
27.52,12.717,12.63309800504254
47.4,15.283,11.940779999999997
21.380000000000003,25.35,7.681607833333333
17.04,53.75,20.944231015515626
42.85,1.117,8.419149999999997
87.31,24.233,5.785700000000002
20.970000000000002,2.683,12.371435639708361
21.18,35.7,12.780046602567715
20.12,11.067,14.8297171904762
15.219999999999999,17.1,8.132803833333329
27.29,6.05,3.0985900000000033
28.6,9.867,7.561319999999995
27.13,6.9,10.350479999999996
50.79,2.783,6.066544999999998
17.94,8.717,11.879850000000001
33.24,11.067,9.804618333333327
26.12,3.417,11.060125000000001
22.849999999999998,17.817,11.43374933333332
20.85,14.067,7.3087242857142884
22.09,7.35,11.687249999999988
31.34,33.717,7.075198333333336
20.64,1.217,5.384539999999992
44.1,9.95,14.837614999999994
19.07,13.233,6.488664064935062
20.85,32.683,9.65118668488456
74.06,12.2,10.944479999999993
28.16,14.933,15.137073000000003
28.24,32.7,11.230675428571429
20.89,19.9,12.238346666666665
23.479999999999997,4.65,10.777754166666671
37.46,19.25,17.49610499999998
23.31,3.517,12.42754848068598
20.11,0.367,8.825750568265068
30.7,4.067,9.417291666666658
14.08,27.883,8.618204345238096
60.59,42.017,5.598650000000009
38.980000000000004,21.45,14.201720000000012
21.18,14.783,7.998796521201018
72.73,1.9,8.477260000000003
22.240000000000002,1.333,4.194456111111119
20.59,1.9,3.046933000000001
22.650000000000002,0.0,9.87248085714286
46.61,6.1,12.27377749999998
21.18,4.95,9.37335453174603
34.400000000000006,0.217,5.600169999999999
20.98,4.233,4.040896182539682
25.400000000000002,5.883,5.870760000000001
21.189999999999998,18.067,12.247683015873015
49.13,20.217,10.99338
25.91,22.583,3.636469333333329
30.7,3.2,16.283727031746043
10.06,0.75,7.193056666666674
20.12,11.033,6.02426990476191
25.919999999999998,6.533,8.486002619047616
26.349999999999998,7.733,4.31865
8.01,2.65,13.759619999999993
31.44,5.667,11.43465
22.23,23.867,5.248366833333336
25.94,1.517,7.220878658730157
0.0,17.6,13.394422349037308
28.59,13.8,12.956196666666665
19.59,26.05,12.837069541125539
40.559999999999995,16.45,27.027730000000002
17.049999999999997,12.567,21.900295862609614
24.03,6.717,23.820326499999997
28.47,26.967,23.110671209595953
11.48,2.867,11.070184580086583
23.3,20.233,21.641696356511133
0.0,24.0,13.394422349037308
60.49,4.533,8.474620000000003
16.94,52.517,9.831598019841268
22.849999999999998,5.117,7.7713683333333385
23.5,11.467,10.72637833333332
27.0,0.417,2.5789180000000016
13.549999999999999,19.567,6.460401623376621
34.949999999999996,38.433,15.392890641082788
19.58,21.733,16.511982286589692
19.830000000000002,34.25,7.602960666666664
28.06,11.8,8.511864750000008
29.08,1.6,9.595634095238092
26.91,3.133,5.559239392857144
27.71,3.333,6.807873333333336
20.21,13.517,17.760790172504777
26.6,2.867,6.491517500000009
20.229999999999997,11.733,10.663990799304832
12.43,0.583,19.923496666666654
27.529999999999998,5.8,12.670269999999991
12.43,21.3,19.923496666666654
22.650000000000002,4.717,9.87248085714286
48.279999999999994,7.383,6.966999999999997
47.44,7.683,9.120272499999992
33.04,10.917,4.374224499999996
30.709999999999997,3.117,14.309461904761909
24.36,13.767,18.33591723412699
23.24,0.45,3.5195500000000006
0.0,5.333,12.31185
10.989999999999998,22.867,13.800831500000001
24.68,5.467,9.10317392857143
32.31,22.75,8.55209500000001
31.66,0.283,2.5136799999999995
20.229999999999997,27.75,12.178997938634932
30.029999999999998,5.85,7.614797666666663
18.94,1.217,8.005583761904752
30.55,0.25,9.057439999999993
20.51,6.233,8.032529333333336
22.849999999999998,8.067,21.68279690476193
20.85,8.433,7.8038033095238095
121.58,5.567,6.008060000000003
18.95,15.733,9.276945
0.0,42.817,13.536715770105005
24.669999999999998,1.833,4.3925707619047625
25.15,7.45,10.162783333333337
30.5,9.5,3.055150000000003
43.08,21.5,6.753648666666659
20.11,0.567,12.166030147070703
28.73,2.717,3.9487299999999994
20.12,11.217,15.449919008195408
38.54,7.017,8.142833333333334
27.73,1.283,8.35637166666667
34.07,10.35,13.302483333333322
25.73,0.967,11.998184666666653
32.83,0.6,6.627771567460318
20.65,2.017,6.3863937645410145
22.28,7.083,7.382005000000004
24.130000000000003,20.517,12.469438639097014
14.07,31.317,8.618204345238096
31.740000000000002,12.167,13.766970000000013
36.330000000000005,6.8,5.546878333333338
11.200000000000001,4.917,9.799984000000004
30.21,10.133,14.447409999999989
37.15,19.333,15.377302333333335
0.0,2.267,3.0163375119047613
40.33,24.533,31.49059933333335
116.50999999999999,8.917,9.505930000000014
53.04,28.183,3.7633400000000075
34.34,3.317,9.686779999999999
0.0,0.0,13.536715770105005
22.41,3.417,12.41095206511545
24.220000000000002,32.267,6.600344000000004
