Total_Amount_USD,Actual_Tip_USD,Predicted_Tip_USD
14.08,27.883,12.909704844641922
60.59,42.017,12.687205058779682
38.980000000000004,21.45,13.221739808758429
21.18,14.783,11.06145953326071
72.73,1.9,10.45098943379984
22.240000000000002,1.333,10.87300247064595
20.59,1.9,7.619292557395362
22.650000000000002,0.0,9.41671601250507
46.61,6.1,15.16359231470026
21.18,4.95,10.529831173863094
34.400000000000006,0.217,8.657070373167613
20.98,4.233,7.64514390199237
25.400000000000002,5.883,8.030589555378633
21.189999999999998,18.067,10.256624874011564
49.13,20.217,6.784303146022488
25.91,22.583,10.658097155700638
30.7,3.2,14.10899002614012
10.06,0.75,8.686896257365404
20.12,11.033,10.975086954071237
25.919999999999998,6.533,11.157207982555335
26.349999999999998,7.733,11.322645324531614
8.01,2.65,8.166680751129881
31.44,5.667,10.694401984148556
22.23,23.867,10.500462672588625
25.94,1.517,10.390412519583641
0.0,17.6,11.976405019190835
28.59,13.8,9.441271106335194
19.59,26.05,9.68107094392549
40.559999999999995,16.45,13.326470897125809
17.049999999999997,12.567,13.204192965244708
24.03,6.717,11.532297335299383
28.47,26.967,13.86355317477269
11.48,2.867,11.892550644340787
23.3,20.233,13.520857145114867
0.0,24.0,11.976405019190835
60.49,4.533,6.099661817551876
16.94,52.517,11.867830661864325
22.849999999999998,5.117,9.703842267139606
23.5,11.467,10.168095122352987
27.0,0.417,8.400151959943315
13.549999999999999,19.567,11.93214143853016
34.949999999999996,38.433,14.293083208076887
19.58,21.733,11.935801128804513
19.830000000000002,34.25,13.388466652372124
28.06,11.8,13.93399630886804
29.08,1.6,7.296009177959917
26.91,3.133,9.054694226712144
27.71,3.333,7.826981578245785
20.21,13.517,11.142152151826004
26.6,2.867,9.0824755728868
20.229999999999997,11.733,11.143477861805337
12.43,0.583,12.800333771346871
27.529999999999998,5.8,11.90928613424581
12.43,21.3,12.800333771346871
22.650000000000002,4.717,9.41671601250507
48.279999999999994,7.383,15.176668909302954
47.44,7.683,5.137976354327826
33.04,10.917,8.996144350600318
30.709999999999997,3.117,10.475898604949684
24.36,13.767,11.513896674246453
23.24,0.45,7.432475248249638
0.0,5.333,9.617257789434134
10.989999999999998,22.867,10.62669906609868
24.68,5.467,10.664210231574835
32.31,22.75,10.485295701587738
31.66,0.283,3.2462187906825903
20.229999999999997,27.75,13.317360663287111
30.029999999999998,5.85,14.064578741832428
18.94,1.217,11.15366878288392
30.55,0.25,6.692666024053189
20.51,6.233,13.335920602997781
22.849999999999998,8.067,11.759209014966395
20.85,8.433,10.499901984061694
121.58,5.567,8.050553458651251
18.95,15.733,10.816022681893287
0.0,42.817,12.074025207862526
24.669999999999998,1.833,9.244523665007044
25.15,7.45,9.736822374144992
30.5,9.5,7.440014885253305
43.08,21.5,14.929604503347825
20.11,0.567,13.309406403411103
28.73,2.717,8.158856518984273
20.12,11.217,13.310069258400773
38.54,7.017,10.503560578173236
27.73,1.283,9.302367739282154
34.07,10.35,9.958520655341104
25.73,0.967,9.153686791063983
32.83,0.6,11.011117644736096
20.65,2.017,9.59023406998243
22.28,7.083,9.289784274517189
24.130000000000003,20.517,13.575874109257228
14.07,31.317,12.909041989652259
31.740000000000002,12.167,12.566931916587848
36.330000000000005,6.8,9.761961951883151
11.200000000000001,4.917,10.374804841182879
30.21,10.133,10.756899886019475
37.15,19.333,14.536531494475312
0.0,2.267,8.670966676387529
40.33,24.533,14.747319381189406
116.50999999999999,8.917,2.7999906550702747
53.04,28.183,15.492187884384428
34.34,3.317,6.898456748706792
0.0,0.0,12.074025207862526
22.41,3.417,11.473244677827665
24.220000000000002,32.267,13.679459992835923
9.510000000000002,16.533,12.60678011436412
35.04,26.317,9.233430025384763
26.8,4.533,10.580156672360403
24.34,0.533,9.466607278100525
18.73,31.433,13.217932414837065
18.6,0.0,9.947050367304179
63.56,2.117,9.544156841043836
32.71,6.7,8.561157830198674
31.76,50.733,14.081632466373122
74.99,0.017,2.5258505474044313
14.41,12.133,11.546123334810169
22.560000000000002,12.85,10.291051181599222
21.69,0.25,10.108699148975184
20.12,8.317,13.407689447072464
52.2,18.55,15.436508065252404
8.06,5.117,10.118338523573122
43.5,2.6,14.85982422424214
19.360000000000003,4.917,13.259692279186083
34.71,12.817,12.530205569389679
49.87,4.883,0.49983537985989557
63.03,6.367,7.382512089001004
24.68,1.633,11.035699575087726
39.989999999999995,1.133,14.724782311540729
23.18,0.0,2.1524894000473864
8.13,15.017,6.343847080202934
35.04,21.967,10.993610560180585
19.58,8.533,9.068229978114324
21.97,29.683,12.09422347133492
22.44,4.617,10.854039669869742
27.52,4.35,9.991539195367757
25.62,1.617,9.590767105526801
120.98,4.067,-1.8362564861143014
36.0,19.883,8.732255357462584
43.79,8.567,7.0064377704050855
0.0,7.717,11.976405019190835
0.0,9.933,10.637931059036589
34.089999999999996,14.367,11.047268009542847
