Store_dma_id,Rack_time,To_the_door_time,Otd_time,Source_actor,Destination_type,Subtotal_amount_USD,Tip_USD,Store_postal_code,Store_zip4_code,Area_sqmi,Businesses,Avg_income,Store_locale_name
541,38.183,,46.7,Uber Eats,Delivery,17.09,0.0,40508,3089,6.10845,3269,62508.0,City - Large
541,32.783,,42.917,Uber Eats,Delivery,29.16,0.0,40508,3089,6.10845,3269,62508.0,City - Large
541,0.283,18.133,8.233,Mobile Web,Delivery,26.36,3.21,40508,3089,6.10845,3269,62508.0,City - Large
541,14.7,31.1,24.5,Mobile Web,Delivery,19.08,2.11,40508,3089,6.10845,3269,62508.0,City - Large
541,2.767,29.15,14.067,Mobile Web,Delivery,26.77,2.98,40508,3089,6.10845,3269,62508.0,City - Large
541,0.367,20.233,11.0,Mobile Web,Delivery,34.51,0.0,40508,3089,6.10845,3269,62508.0,City - Large
541,1.417,20.383,10.867,Mobile Web,Delivery,31.37,3.96,40508,3089,6.10845,3269,62508.0,City - Large
541,3.583,27.05,10.633,Mobile Web,Delivery,16.08,1.66,40508,3089,6.10845,3269,62508.0,City - Large
541,15.517,33.55,26.967,Mobile Web,Delivery,32.86,5.25,40508,3089,6.10845,3269,62508.0,City - Large
541,2.533,18.1,10.567,Mobile Web,Delivery,24.26,3.85,40508,3089,6.10845,3269,62508.0,City - Large
541,1.167,13.85,9.4,Mobile Web,Delivery,29.29,3.65,40508,3089,6.10845,3269,62508.0,City - Large
541,9.45,24.417,17.45,Mobile Web,Delivery,19.79,2.97,40508,3089,6.10845,3269,62508.0,City - Large
541,15.083,35.433,23.683,Mobile Web,Delivery,47.26,10.0,40508,3089,6.10845,3269,62508.0,City - Large
541,9.7,,19.517,Mobile Web,Delivery,48.86,6.3,40508,3089,6.10845,3269,62508.0,City - Large
541,1.25,28.483,8.55,Mobile Web,Delivery,23.08,3.62,40508,3089,6.10845,3269,62508.0,City - Large
541,2.95,13.2,9.7,Mobile Web,Delivery,20.98,0.0,40508,3089,6.10845,3269,62508.0,City - Large
541,0.35,,11.933,Mobile Web,Delivery,27.07,3.31,40508,3089,6.10845,3269,62508.0,City - Large
541,0.333,17.483,10.7,Mobile Web,Delivery,36.45,4.88,40508,3089,6.10845,3269,62508.0,City - Large
541,12.9,29.367,25.183,Desktop Web,Delivery,24.76,2.97,40508,3089,6.10845,3269,62508.0,City - Large
541,0.933,24.233,11.05,Desktop Web,Delivery,17.68,1.9,40508,3089,6.10845,3269,62508.0,City - Large
541,22.75,40.517,31.667,Desktop Web,Delivery,26.47,5.37,40508,3089,6.10845,3269,62508.0,City - Large
