Total_Amount_USD,Actual_Tip_USD,Predicted_Tip_USD
36.61,4.61,4.159864352045574
19.7,3.52,2.79337389604477
26.89,4.08,3.1506629576511633
34.15,10.0,4.159864352045574
35.47,5.46,3.4985426644876587
11.200000000000001,3.09,2.5727287639219405
73.97,0.0,5.296214125272698
21.99,3.81,2.6289722492833527
38.96,0.0,3.4985426644876587
20.12,2.0,2.748415240935016
11.65,1.3,2.4576056019412396
19.58,5.0,2.79337389604477
28.270000000000003,0.0,3.3905775547669132
76.74,0.0,8.112915106198171
37.26,4.76,4.159864352045574
13.76,3.8,2.5727287639219405
49.08,6.0,4.891389074391996
54.99,10.0,6.167171079064243
63.82,8.37,5.296214125272698
28.38,2.28,3.3905775547669132
13.549999999999999,0.0,2.5727287639219405
13.76,2.0,2.5199059090604363
27.64,5.0,4.159864352045574
0.0,0.0,2.4890494197965802
22.02,2.44,2.812777741531889
30.54,6.05,3.3905775547669132
20.96,2.22,2.748415240935016
47.21,9.7,4.891389074391996
28.93,5.0,4.159864352045574
25.5,0.0,2.9827973804035337
12.43,2.25,2.4126469468314857
34.93,5.33,4.159864352045574
47.120000000000005,0.0,3.4616492060504123
29.87,4.74,4.159864352045574
40.73,5.36,3.3905775547669132
22.66,3.4,2.828547675379107
28.220000000000002,7.77,3.4985426644876587
74.99,13.8,6.167171079064243
14.23,0.0,2.748415240935016
38.11,7.04,3.3905775547669132
20.64,0.0,2.748415240935016
20.11,4.0,2.748415240935016
18.0,0.0,2.748415240935016
17.2,2.94,2.79337389604477
55.790000000000006,10.13,2.959924361748561
18.74,2.54,2.748415240935016
23.15,0.0,2.9060725401252716
19.59,2.43,2.79337389604477
41.18,6.49,3.3905775547669132
